amount,hour,weekday,velocity,merchant_freq,distance,price_z,fraud
12.66,7,3,4,0.37331716420646677,66.41597559814403,-0.9660541670283561,0
16.38,2,6,8,0.5530162070419212,87.32081590502204,0.18759655105734144,1
139.76,11,4,7,0.904996296356912,99.96417431845477,-0.1567727921209093,1
53.84,11,4,3,0.42199826000630014,41.50090823802465,1.6114825839014688,0
55.5,3,0,8,0.4204020817858243,33.581433776867165,1.229425140183445,1
69.64,16,1,9,0.7401308379024925,34.69507493812654,-0.9581156661109975,1
1.19,18,0,9,0.4823052948393034,124.71777109316378,0.3417684112497102,1
43.21,21,4,5,0.9050326949011767,13.373395331806588,-1.9780471824633563,0
7.13,16,4,10,0.3477058113158378,44.84894866065377,0.14158010105046806,0
0.11,5,3,3,0.6151022660827025,52.36531733587016,-0.6659939271544978,0
18.45,19,3,5,0.3381758037964493,39.10892341081909,1.436255499815889,0
25.94,13,1,5,0.2840502536968931,3.5086343816997214,-0.6721746457032346,0
27.47,16,4,3,0.39751625932522416,12.111871893692122,-2.226101982460583,0
195.55,9,2,6,0.3440694375291886,38.46062110893442,1.5924955226325332,1
21.23,14,4,1,0.019004099049108603,41.786831278914164,-0.2591323542488592,0
15.6,19,1,2,0.3321367109639729,33.5673800024754,1.0023425366362007,0
202.18,11,2,3,0.635785880684023,26.095694134015393,-0.8508834616408236,0
18.73,17,0,4,0.3210394283553354,2.108230410436448,-0.13471324206551563,0
123.11,9,2,4,0.5136313726151635,36.886842027335874,-0.2282947259601473,0
5.47,3,0,9,0.4504605989878946,35.925965597704995,0.7455746119475356,0
37.09,18,1,2,0.14199681297550482,75.53333467530737,1.5990706120585012,0
115.95,11,3,1,0.20660455662539223,42.10126223479398,-0.5505130986271346,0
102.0,8,1,2,0.79420419898221,36.99716324973973,-1.0560179626314055,0
39.66,3,1,5,0.6001812018317544,28.614018449802117,-0.14343060927876475,0
56.49,7,3,1,0.7742255898159699,47.59076416719189,-1.6015138252267045,0
38.28,5,3,8,0.7728366473528367,43.68926982122881,0.29115354534271376,0
59.05,4,3,9,0.5888507707046898,15.608973577851048,0.3101994376067552,0
6.79,15,2,9,0.8882609616475072,42.57841572843124,0.006098146815251148,0
56.92,21,4,4,0.3538210197818872,37.341404361662335,-0.6459422036812154,0
10.64,14,2,6,0.384161775953748,126.65847161492141,0.37005111256715173,0
120.13,18,2,5,0.9327370089005754,50.29835237880751,0.7154260885528556,0
43.1,1,2,4,0.6974006070668284,94.20982885164882,-1.3381905537576755,0
45.65,2,4,1,0.3537681649752481,35.339407904507965,-1.6886114968579924,0
17.4,6,2,2,0.13486999927907206,64.2867055494275,-0.981532789168277,0
27.7,5,2,9,0.9254061574963195,15.558368812010615,0.6699888008320627,1
108.38,10,1,9,0.5081970608591886,69.58012741592225,0.46368286176687906,0
36.1,14,6,7,0.6852494688205902,1.9100184871966022,-0.9559653080669965,0
51.51,19,5,2,0.021000550573002097,132.29714552260054,1.4683968473247746,1
